SIGUN_NM,SERVC_NM,SPORT_TARGET,SERVC_RINK_ADDR,CHARGE_DEPT_NM,APLCATN_METH,SPORT_CYCL
안산시,청년주거안심서비스,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006139&wlfareInfoReldBztpCd=02,경기도 안산시 청년정책관,"인터넷, E-mail, 전화, 방문",수시
수원시,취업준비청년 정장대여 사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006136&wlfareInfoReldBztpCd=02,경기도 수원시 문화청년체육국 청년청소년과,인터넷,년
수원시,청년 월세 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006135&wlfareInfoReldBztpCd=02,경기도 수원시 문화청년체육국 청년청소년과,인터넷,1회성
여주시,여주시 청년 창업자 임차료 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005751&wlfareInfoReldBztpCd=02,경기도 여주시 행복지원국 복지행정과,"방문, 우편, E-mail",월
과천시,청년 면접정장 무료대여사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005376&wlfareInfoReldBztpCd=02,경기도 과천시 경제복지국 복지정책과,인터넷,년
양주시,초등학생 입학축하금 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005373&wlfareInfoReldBztpCd=02,경기도 양주시 복지문화국 교육체육과,"인터넷, 방문",1회성
양주시,개인운영장애인거주시설 난방비 지원,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005372&wlfareInfoReldBztpCd=02,경기도 양주시 복지문화국 복지지원과,인터넷,년
양주시,페트병 재활용 회수 자판기 설치 운영,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005371&wlfareInfoReldBztpCd=02,경기도 양주시 일자리환경국 청소행정과,,수시
과천시,임신축하금 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005139&wlfareInfoReldBztpCd=02,경기도 과천시 보건소 건강증진과,방문,1회성
과천시,저소득 노인 사회활동 장려금,저소득,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005179&wlfareInfoReldBztpCd=02,경기도 과천시 경제복지국 사회복지과,방문,월
